content,content_stem,score,target
For god sake yr welcome gift T&C isnt stated clearly. I ordered a item so I can get the free welcome gift without feeling bad. After that try selecting a free gift and keep getting a error. Spoke to a CSO and was told I had to get the free gift FIRST before making a purchase!Good job. Not gonna use it again after getting the order.,god sake yr welcom gift c isnt state clearli order get free welcom gift without feel tri select free gift keep get error spoke cso told get free gift first make purchas good job gonna use get order,2,1
"Shopee has a wild variety of products however i will only buy certain stuffs . I would prefer stuffs to come with long warranty. Usually for clothings , i prefer brick and motar , see whether it fits . As long as physical products , i would gladly purchase , best can include warranty . I will go only for the quality . This app is very handy . I know where to save money when purchasing . It has some really good stuffs . I will keep coming back , a very good place for bargains .",wild varieti product howev buy certain stuff would prefer stuff come long warranti usual cloth prefer brick motar see whether fit long physic product would gladli purchas best includ warranti go qualiti handi know save money purchas realli good stuff keep come back good place bargain,3,1
Cheap and very fast...I love order here..,cheap fast love order,5,0
Overall no complains it's good,overal complain good,5,0
Reliable and cheap👍👍👍,reliabl cheap,5,0
🥰nice to use,nice use,4,0
"Great place to shop, very competitive pricing and choices. Love the overall experience. 👍",great place shop competit price choic love overal experi,5,0
"Terrible payment. For a long time I have been using credit/debit payment without any glitch. Today, I kept being denied of my payment. Error message: Oops payment failed. Did all the steps given by the help desk but still no go. Very annoying to face this issue. On another note, why can't you add more payment methods like PayPal instead of just IBG?",terribl payment long time use credit debit payment without glitch today kept deni payment error messag oop payment fail step given help desk still go annoy face issu anoth note add payment method like paypal instead ibg,2,1
Good,good,4,0
"So far so good, maybe can increase the reward of games n daily login. I remembered last time is 10 coins on 7th day, now is 7 coins.",far good mayb increas reward game n daili login rememb last time coin th day coin,4,0
